user_id,similarity_score,top_movies
93,0.9744442426516917,"[{'title': 'Apollo 13 (1995)', 'rating': 5.0, 'timestamp': 942947377}, {'title': 'Braveheart (1995)', 'rating': 5.0, 'timestamp': 942947377}, {'title': 'Few Good Men, A (1992)', 'rating': 5.0, 'timestamp': 942947343}]"
423,0.9667324381162519,"[{'title': 'Terminator 2: Judgment Day (1991)', 'rating': 5.0, 'timestamp': 1155285869}, {'title': 'Apollo 13 (1995)', 'rating': 5.0, 'timestamp': 1155285857}, {'title': 'Shawshank Redemption, The (1994)', 'rating': 5.0, 'timestamp': 1155285853}]"
402,0.9660145257958069,"[{'title': 'Independence Day (a.k.a. ID4) (1996)', 'rating': 5.0, 'timestamp': 852552188}, {'title': 'Mrs. Doubtfire (1993)', 'rating': 5.0, 'timestamp': 849601504}, {'title': 'Die Hard (1988)', 'rating': 5.0, 'timestamp': 849601325}]"
314,0.9642532109462139,"[{'title': 'Star Wars: Episode IV - A New Hope (1977)', 'rating': 5.0, 'timestamp': 852051195}, {'title': '2001: A Space Odyssey (1968)', 'rating': 5.0, 'timestamp': 845285383}, {'title': 'Courage Under Fire (1996)', 'rating': 5.0, 'timestamp': 837293745}]"
133,0.9622349428942395,"[{'title': 'Hudsucker Proxy, The (1994)', 'rating': 4.0, 'timestamp': 843491793}, {'title': ""Schindler's List (1993)"", 'rating': 4.0, 'timestamp': 843491514}, {'title': 'Twelve Monkeys (a.k.a. 12 Monkeys) (1995)', 'rating': 4.0, 'timestamp': 843491488}]"
323,0.9605112734875337,"[{'title': 'Welcome to the Dollhouse (1995)', 'rating': 5.0, 'timestamp': 1422640657}, {'title': 'Shawshank Redemption, The (1994)', 'rating': 5.0, 'timestamp': 1422640055}, {'title': 'Birdman: Or (The Unexpected Virtue of Ignorance) (2014)', 'rating': 4.5, 'timestamp': 1422640803}]"
486,0.9596236661522906,"[{'title': 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'rating': 5.0, 'timestamp': 839537372}, {'title': 'Crow, The (1994)', 'rating': 5.0, 'timestamp': 839537298}, {'title': 'Rumble in the Bronx (Hont faan kui) (1995)', 'rating': 5.0, 'timestamp': 839537298}]"
594,0.9590490866359346,"[{'title': 'Spider-Man 2 (2004)', 'rating': 5.0, 'timestamp': 1137982172}, {'title': 'Three Men and a Baby (1987)', 'rating': 5.0, 'timestamp': 1129084200}, {'title': 'Under the Tuscan Sun (2003)', 'rating': 5.0, 'timestamp': 1121758916}]"
524,0.958051618837203,"[{'title': 'Executive Decision (1996)', 'rating': 5.0, 'timestamp': 852404399}, {'title': 'Boot, Das (Boat, The) (1981)', 'rating': 5.0, 'timestamp': 851609788}, {'title': 'Young Frankenstein (1974)', 'rating': 5.0, 'timestamp': 851609768}]"
386,0.9572939892887767,"[{'title': 'Pulp Fiction (1994)', 'rating': 5.0, 'timestamp': 842610161}, {'title': 'Quick and the Dead, The (1995)', 'rating': 4.0, 'timestamp': 842613980}, {'title': 'Rumble in the Bronx (Hont faan kui) (1995)', 'rating': 4.0, 'timestamp': 842613980}]"
297,0.9555985230932017,"[{'title': 'Shallow Grave (1994)', 'rating': 5.0, 'timestamp': 900872083}, {'title': 'Big Lebowski, The (1998)', 'rating': 5.0, 'timestamp': 900872022}, {'title': 'Heat (1995)', 'rating': 5.0, 'timestamp': 900871748}]"
335,0.9547806298373668,"[{'title': 'Usual Suspects, The (1995)', 'rating': 5.0, 'timestamp': 1261542414}, {'title': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'rating': 5.0, 'timestamp': 1261542410}, {'title': 'Matrix, The (1999)', 'rating': 5.0, 'timestamp': 1261542406}]"
78,0.9541983912421053,"[{'title': 'Airplane! (1980)', 'rating': 5.0, 'timestamp': 1252575044}, {'title': 'Terminator, The (1984)', 'rating': 5.0, 'timestamp': 1252574777}, {'title': 'Die Hard (1988)', 'rating': 5.0, 'timestamp': 1252574711}]"
304,0.9540374897537841,"[{'title': 'Galaxy Quest (1999)', 'rating': 5.0, 'timestamp': 946216891}, {'title': 'Toy Story 2 (1999)', 'rating': 5.0, 'timestamp': 944976429}, {'title': 'Anna and the King (1999)', 'rating': 5.0, 'timestamp': 944976364}]"
179,0.9534089129281091,"[{'title': 'Independence Day (a.k.a. ID4) (1996)', 'rating': 5.0, 'timestamp': 852114051}, {'title': 'Twister (1996)', 'rating': 5.0, 'timestamp': 852114051}, {'title': 'Santa Clause, The (1994)', 'rating': 5.0, 'timestamp': 840907726}]"
